Avg_rain	Avg_temp	Year
197.00	24.95	1966
142.50	25.84	1967
165.05	25.43	1968
135.11	26.15	1969
143.89	25.63	1970
140.95	25.28	1971
134.91	26.04	1972
169.16	25.56	1973
148.55	25.48	1974
168.11	25.32	1975
144.29	26.06	1976
152.61	25.69	1977
156.52	25.71	1978
156.97	26.43	1979
160.01	25.92	1980
143.83	25.68	1981
128.62	26.68	1982
144.78	26.11	1983
178.29	25.61	1984
186.64	25.55	1985
206.69	25.64	1986
154.12	26.48	1987
194.37	25.97	1988
175.28	25.87	1989
149.08	26.43	1990
140.51	26.40	1991
157.27	26.11	1992
161.83	25.93	1993
170.85	25.99	1994
160.22	26.41	1995
169.73	25.78	1996
112.52	27.86	1997
162.95	26.30	1998
180.59	26.03	1999
168.53	25.97	2000
139.02	26.79	2001
157.07	26.86	2002
183.57	26.40	2003
154.91	26.39	2004
145.44	27.00	2005
148.16	26.87	2006
147.33	26.41	2007
177.59	26.13	2008
127.71	27.65	2009
127.65	27.26	2010
141.53	26.91	2011
122.98	26.83	2012
149.52	26.46	2013
149.06	26.71	2014
84.52	28.40	2015
147.11	27.12	2016
131.62	27.06	2017
127.21	27.34	2018
146.62	26.80	2019
		
		
		
		
		
		
